TeamName,Season,Strength
Bayer 04 Leverkusen,until-2002-2003,3
Bayer 04 Leverkusen,until-2003-2004,3
Bayer 04 Leverkusen,until-2004-2005,3
Bayer 04 Leverkusen,until-2005-2006,3
Bayer 04 Leverkusen,until-2006-2007,3
Bayer 04 Leverkusen,until-2007-2008,3
Bayer 04 Leverkusen,until-2008-2009,3
Bayer 04 Leverkusen,until-2009-2010,3
Bayer 04 Leverkusen,until-2010-2011,3
Bayer 04 Leverkusen,until-2011-2012,3
Bayer 04 Leverkusen,until-2012-2013,3
Bayer 04 Leverkusen,until-2013-2014,3
Bayer 04 Leverkusen,until-2014-2015,3
Bayer 04 Leverkusen,until-2015-2016,3
Eintracht Frankfurt,until-1994-1995,2
Eintracht Frankfurt,until-1995-1996,1
Eintracht Frankfurt,until-1998-1999,1
Eintracht Frankfurt,until-1999-2000,1
Eintracht Frankfurt,until-2000-2001,1
Eintracht Frankfurt,until-2003-2004,0
Eintracht Frankfurt,until-2005-2006,1
Eintracht Frankfurt,until-2006-2007,1
Eintracht Frankfurt,until-2007-2008,1
Eintracht Frankfurt,until-2008-2009,1
Eintracht Frankfurt,until-2009-2010,1
Eintracht Frankfurt,until-2010-2011,1
Eintracht Frankfurt,until-2012-2013,1
Eintracht Frankfurt,until-2013-2014,1
Eintracht Frankfurt,until-2014-2015,1
Eintracht Frankfurt,until-2015-2016,1
1. FC Köln,until-1994-1995,2
1. FC Köln,until-1995-1996,1
1. FC Köln,until-1996-1997,2
1. FC Köln,until-1997-1998,1
1. FC Köln,until-2000-2001,2
1. FC Köln,until-2001-2002,1
1. FC Köln,until-2003-2004,1
1. FC Köln,until-2005-2006,1
1. FC Köln,until-2008-2009,1
1. FC Köln,until-2009-2010,1
1. FC Köln,until-2010-2011,1
1. FC Köln,until-2011-2012,1
1. FC Köln,until-2014-2015,1
1. FC Köln,until-2015-2016,1
FC Schalke 04,until-1994-1995,1
FC Schalke 04,until-1995-1996,2
FC Schalke 04,until-1996-1997,1
FC Schalke 04,until-1997-1998,2
FC Schalke 04,until-1998-1999,2
FC Schalke 04,until-1999-2000,1
FC Schalke 04,until-2000-2001,2
FC Schalke 04,until-2001-2002,2
FC Schalke 04,until-2002-2003,2
FC Schalke 04,until-2003-2004,2
FC Schalke 04,until-2004-2005,2
FC Schalke 04,until-2005-2006,2
FC Schalke 04,until-2006-2007,3
FC Schalke 04,until-2007-2008,3
FC Schalke 04,until-2008-2009,3
FC Schalke 04,until-2009-2010,3
FC Schalke 04,until-2010-2011,3
FC Schalke 04,until-2011-2012,3
FC Schalke 04,until-2012-2013,3
FC Schalke 04,until-2013-2014,3
FC Schalke 04,until-2014-2015,3
FC Schalke 04,until-2015-2016,3
VfB Stuttgart,until-1994-1995,1
VfB Stuttgart,until-1995-1996,1
VfB Stuttgart,until-1996-1997,2
VfB Stuttgart,until-1997-1998,2
VfB Stuttgart,until-1998-1999,2
VfB Stuttgart,until-1999-2000,2
VfB Stuttgart,until-2000-2001,2
VfB Stuttgart,until-2001-2002,2
VfB Stuttgart,until-2002-2003,2
VfB Stuttgart,until-2003-2004,2
VfB Stuttgart,until-2004-2005,2
VfB Stuttgart,until-2005-2006,2
VfB Stuttgart,until-2006-2007,2
VfB Stuttgart,until-2007-2008,2
VfB Stuttgart,until-2008-2009,2
VfB Stuttgart,until-2009-2010,2
VfB Stuttgart,until-2010-2011,2
VfB Stuttgart,until-2011-2012,2
VfB Stuttgart,until-2012-2013,2
VfB Stuttgart,until-2013-2014,2
VfB Stuttgart,until-2014-2015,2
VfB Stuttgart,until-2015-2016,2
VfL Bochum,until-1994-1995,0
VfL Bochum,until-1996-1997,1
VfL Bochum,until-1997-1998,1
VfL Bochum,until-1998-1999,1
VfL Bochum,until-2000-2001,0
VfL Bochum,until-2002-2003,1
VfL Bochum,until-2003-2004,1
VfL Bochum,until-2004-2005,1
VfL Bochum,until-2006-2007,1
VfL Bochum,until-2007-2008,1
VfL Bochum,until-2008-2009,1
VfL Bochum,until-2009-2010,1
Fortuna Düsseldorf,until-1995-1996,1
Fortuna Düsseldorf,until-1996-1997,1
Fortuna Düsseldorf,until-2012-2013,0
FC St. Pauli,until-1995-1996,1
FC St. Pauli,until-1996-1997,0
FC St. Pauli,until-2001-2002,0
FC St. Pauli,until-2010-2011,0
DSC Arminia Bielefeld,until-1996-1997,1
DSC Arminia Bielefeld,until-1997-1998,0
DSC Arminia Bielefeld,until-1999-2000,0
DSC Arminia Bielefeld,until-2002-2003,0
DSC Arminia Bielefeld,until-2004-2005,0
DSC Arminia Bielefeld,until-2005-2006,1
DSC Arminia Bielefeld,until-2006-2007,1
DSC Arminia Bielefeld,until-2007-2008,1
DSC Arminia Bielefeld,until-2008-2009,1
Hertha BSC Berlin,until-1997-1998,1
Hertha BSC Berlin,until-1998-1999,2
Hertha BSC Berlin,until-1999-2000,2
Hertha BSC Berlin,until-2000-2001,2
Hertha BSC Berlin,until-2001-2002,3
Hertha BSC Berlin,until-2002-2003,3
Hertha BSC Berlin,until-2003-2004,3
Hertha BSC Berlin,until-2004-2005,3
Hertha BSC Berlin,until-2005-2006,3
Hertha BSC Berlin,until-2006-2007,2
Hertha BSC Berlin,until-2007-2008,2
Hertha BSC Berlin,until-2008-2009,2
Hertha BSC Berlin,until-2009-2010,2
Hertha BSC Berlin,until-2011-2012,2
Hertha BSC Berlin,until-2013-2014,2
Hertha BSC Berlin,until-2014-2015,2
Hertha BSC Berlin,until-2015-2016,2
VfL Wolfsburg,until-1997-1998,1
VfL Wolfsburg,until-1998-1999,2
VfL Wolfsburg,until-1999-2000,2
VfL Wolfsburg,until-2000-2001,2
VfL Wolfsburg,until-2001-2002,2
VfL Wolfsburg,until-2002-2003,2
VfL Wolfsburg,until-2003-2004,2
VfL Wolfsburg,until-2004-2005,2
VfL Wolfsburg,until-2005-2006,2
VfL Wolfsburg,until-2006-2007,2
VfL Wolfsburg,until-2007-2008,2
VfL Wolfsburg,until-2008-2009,2
VfL Wolfsburg,until-2009-2010,2
VfL Wolfsburg,until-2010-2011,2
VfL Wolfsburg,until-2011-2012,2
VfL Wolfsburg,until-2012-2013,2
VfL Wolfsburg,until-2013-2014,2
VfL Wolfsburg,until-2014-2015,2
VfL Wolfsburg,until-2015-2016,2
1. FC Nürnberg,until-1998-1999,0
1. FC Nürnberg,until-2001-2002,0
1. FC Nürnberg,until-2002-2003,0
1. FC Nürnberg,until-2004-2005,0
1. FC Nürnberg,until-2005-2006,1
1. FC Nürnberg,until-2006-2007,1
1. FC Nürnberg,until-2007-2008,1
1. FC Nürnberg,until-2009-2010,0
1. FC Nürnberg,until-2010-2011,1
1. FC Nürnberg,until-2011-2012,1
1. FC Nürnberg,until-2012-2013,1
1. FC Nürnberg,until-2013-2014,1
FC Energie Cottbus,until-2000-2001,1
FC Energie Cottbus,until-2001-2002,1
FC Energie Cottbus,until-2002-2003,1
FC Energie Cottbus,until-2006-2007,1
FC Energie Cottbus,until-2007-2008,1
FC Energie Cottbus,until-2008-2009,1
1. FSV Mainz 05,until-2004-2005,1
1. FSV Mainz 05,until-2005-2006,1
1. FSV Mainz 05,until-2006-2007,1
1. FSV Mainz 05,until-2009-2010,1
1. FSV Mainz 05,until-2010-2011,1
1. FSV Mainz 05,until-2011-2012,1
1. FSV Mainz 05,until-2012-2013,1
1. FSV Mainz 05,until-2013-2014,1
1. FSV Mainz 05,until-2014-2015,1
1. FSV Mainz 05,until-2015-2016,1
TSG 1899 Hoffenheim,until-2008-2009,2
TSG 1899 Hoffenheim,until-2009-2010,2
TSG 1899 Hoffenheim,until-2010-2011,1
TSG 1899 Hoffenheim,until-2011-2012,1
TSG 1899 Hoffenheim,until-2012-2013,1
TSG 1899 Hoffenheim,until-2013-2014,1
TSG 1899 Hoffenheim,until-2014-2015,1
TSG 1899 Hoffenheim,until-2015-2016,1
FC Augsburg,until-2011-2012,1
FC Augsburg,until-2012-2013,1
FC Augsburg,until-2013-2014,1
FC Augsburg,until-2014-2015,1
FC Augsburg,until-2015-2016,1
SpVgg Greuther Fürth,until-2012-2013,0
Eintracht Braunschweig,until-2013-2014,0
SC Paderborn 07,until-2014-2015,0
FC Ingolstadt 04,until-2015-2016,1
SV Darmstadt 98,until-2015-2016,1
